project_name,Accuracy,F1,Precision,Recall
Activiti,100,100,100,100
adyen-java-api-library,92.13483146,91.76470588,97.5,86.66666667
alluxio,100,100,100,100
biojava,96.15384615,98.03921569,98.03921569,98.03921569
castle-java,100,100,100,100
commons-collections,75,75,100,60
cxf,100,100,100,100
dubbo-admin,100,100,100,100
flink,94.11764706,96.42857143,100,93.10344828
flowable-engine,100,100,100,100
hadoop,97.31543624,98.63013699,98.63013699,98.63013699
hive,90.47619048,94.87179487,100,90.24390244
hsac-fitnesse-fixtures,57.89473684,60,66.66666667,54.54545455
incubator-shardingsphere,100,100,100,100
innodb-java-reader,100,100,100,100
jackson-databind,66.66666667,66.66666667,50,100
nifi,96.57142857,98.20359281,98.79518072,97.61904762
openwebbeans,100,100,100,100
ozone,100,100,100,100
shardingsphere-elasticjob,89.28571429,94.11764706,100,88.88888889
spring-data-couchbase,66.66666667,66.66666667,100,50
tyrus,78.57142857,84.21052632,100,72.72727273
wasp,100,100,100,100
openhtmltopdf,97.14285714,98.55072464,100,97.14285714
