project_name,Accuracy,F1,Precision,Recall,TN,FP,FN,TP
dubbo,0.8924731182795699,0.9431818181818181,0.9171270718232044,0.9707602339181286
Activiti,0.96,0.9795918367346939,1.0,0.96
adyen-java-api-library, 0.4943820224719101,0,0,0
innodb-java-reader,1.0,1.0,1.0,1.0
wasp,1.0,1.0,1.0,1.0,0,0,0,7
alluxio,1.0,1.0,1.0,1.0,0,0,0,2
commons-collections,0.5,0.33333333333333337,1.0,0.2,3,0,4,1
cxf,1.0,1.0,1.0,1.0,0,0,0,17
flink,0.9705882352941176,0.9824561403508771,1.0,0.9655172413793104,5,0,1,28
hadoop,0.9865771812080537,0.993103448275862,1.0,0.9863013698630136,3,0,2,144
hbase,0.9807692307692307,0.98989898989899,1.0,0.98,2,0,1,49
hive,0.9761904761904762,0.9876543209876543,1.0,0.975609756097561,1,0,1,40
incubator-shardingsphere,1.0,1.0,1.0,1.0,1,0,0,15
nifi,1.0,1.0,1.0,1.0,7,0,0,139
openwebbeans,1.0,1.0,1.0,1.0,0,0,0,6
ozone,1.0,1.0,1.0,1.0,0,0,0,27
shardingsphere-elasticjob,1.0,1.0,1.0,1.0,1,0,0,27
biojava,0.9615384615384616,0.98,1.0,0.9607843137254902,1,0,2,49
castle-java,1.0,1.0,1.0,1.0,13,0,0,13
openhtmltopdf,1.0,1.0,1.0,1.0,0,0,0,35
tyrus,1.0,1.0,1.0,1.0,3,0,0,11
jackson-databind,1.0,1.0,1.0,1.0,4,0,0,2
hsac-fitnesse-fixtures,0.7368421052631579,0.7058823529411764,1.0,0.5454545454545454,8,0,5,6
flowable-engine,0.8947368421052632,0.9375,1.0,0.8823529411764706,2,0,2,15
